City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
334,banda aceh,44,ID,1526229683,98,5.56,95.32,75.05,2.46
335,kudahuvadhoo,48,MV,1526229683,100,2.67,72.89,84.5,6.71
336,marovoay,20,MG,1526227200,83,-16.11,46.64,78.8,4.7
337,kedrovyy,0,RU,1526227200,80,56.17,91.82,41.0,11.18
338,sisimiut,92,GL,1526229254,92,66.94,-53.67,33.24,2.68
339,fairview,90,US,1526227620,81,40.81,-74.0,53.6,8.05
340,gornopravdinsk,92,RU,1526229277,56,60.06,69.92,43.95,11.3
341,bindura,76,ZW,1526229684,51,-17.3,31.33,66.77,2.01
342,zaysan,12,KZ,1526229684,94,47.47,84.87,46.65,6.6
343,tynda,92,RU,1526229684,94,55.15,124.74,40.44,8.28
344,cayenne,92,GF,1526227200,94,4.94,-52.33,78.8,10.29
345,thompson,75,CA,1526227200,44,55.74,-97.86,57.2,13.87
346,caravelas,0,BR,1526229218,100,-17.73,-39.27,79.41,5.14
347,vostok,0,RU,1526229257,84,46.45,135.83,38.82,1.9
348,monte alegre,44,BR,1526229685,81,-2.0,-54.07,83.91,4.36
349,port macquarie,75,AU,1526227200,87,-31.43,152.91,57.2,9.17
350,rio gallegos,75,AR,1526227200,86,-51.62,-69.22,41.0,5.82
351,chivay,0,PE,1526229551,22,-15.64,-71.6,53.13,3.8
352,buin,75,CL,1526227200,76,-33.73,-70.74,55.4,4.7
353,lita,24,CN,1526229685,94,27.36,116.54,72.03,2.57
354,inta,88,RU,1526229685,86,66.04,60.13,32.25,10.18
355,kayerkan,64,RU,1526229258,76,69.35,87.76,11.37,5.26
356,teknaf,32,BD,1526229686,99,20.86,92.31,74.33,2.35
357,terrace,75,CA,1526227200,62,54.52,-128.61,55.4,12.75
358,namwala,0,ZM,1526229686,55,-15.75,26.45,69.47,4.14
359,sarankhola,36,BD,1526229686,86,22.31,89.79,81.8,8.95
360,punta gorda,90,US,1526228100,58,26.93,-82.05,82.4,12.75
361,jacqueville,75,CI,1526227200,78,5.21,-4.42,82.4,10.29
362,khorostkiv,0,UA,1526229687,55,49.21,25.92,54.93,8.39
363,rantepao,68,ID,1526229687,100,-2.97,119.9,69.33,1.45
364,hecun,68,CN,1526229687,91,29.94,119.31,65.6,2.01
365,warwick,90,US,1526228160,76,41.7,-71.42,57.2,8.05
366,swakopmund,0,NA,1526227200,59,-22.68,14.53,66.2,20.8
367,nanakuli,40,US,1526227020,94,21.39,-158.15,75.2,4.7
368,margate,20,AU,1526227200,93,-43.03,147.26,42.8,4.7
369,constitucion,90,MX,1526226000,37,23.99,-104.67,71.6,2.24
370,tommot,88,RU,1526229688,86,58.97,126.27,38.28,7.61
371,galle,75,US,1526228280,65,29.74,-97.91,84.2,13.87
372,sechura,0,PE,1526229688,74,-5.56,-80.82,77.16,12.19
373,mana,40,RS,1526227200,72,43.52,20.24,66.2,4.7
374,gazojak,56,TM,1526229689,93,41.19,61.4,62.27,3.58
375,ust-kuyga,88,RU,1526229689,86,70.0,135.55,17.4,4.81
376,kirakira,92,SB,1526229240,100,-10.46,161.92,79.1,9.84
377,sobolevo,8,RU,1526229689,42,54.43,31.9,59.7,7.27
378,nuuk,75,GL,1526226600,96,64.17,-51.74,32.0,10.29
379,calvinia,0,ZA,1526229689,61,-31.47,19.78,45.21,2.91
380,springbok,0,ZA,1526229689,68,-29.67,17.88,53.9,7.94
381,alencon,0,FR,1526227200,45,48.43,0.08,62.6,3.36
382,aranda de duero,88,ES,1526229690,62,41.67,-3.69,49.13,10.18
383,touros,32,BR,1526229690,73,-5.2,-35.46,84.45,15.1
384,suslovo,36,RU,1526229690,94,56.22,88.12,36.93,2.46
385,zhigansk,80,RU,1526229690,71,66.77,123.37,24.87,4.59
386,laramie,90,US,1526227500,71,41.31,-105.59,51.8,10.29
387,srednekolymsk,92,RU,1526229691,82,67.46,153.71,37.88,10.18
388,port lincoln,0,AU,1526229253,100,-34.72,135.86,50.97,4.59
389,dmitriyevka,92,GE,1526229691,100,43.08,41.0,47.73,1.68
390,ningxiang,0,CN,1526227200,88,28.28,112.55,75.2,2.24
391,havre-saint-pierre,20,CA,1526223600,47,50.23,-63.6,37.4,20.8
392,jiuquan,0,CN,1526229691,32,39.73,98.49,51.96,4.36
393,burla,68,RU,1526229691,84,53.34,78.33,43.77,12.3
394,northam,20,GB,1526226600,44,51.04,-4.21,60.8,9.17
395,husavik,0,CA,1526229234,49,50.56,-96.99,67.53,17.56
396,pimentel,20,BR,1526229691,80,-3.7,-45.5,85.71,3.69
397,lota,40,DZ,1526227200,72,36.63,5.3,64.4,6.93
398,morant bay,20,JM,1526227200,74,17.88,-76.41,86.0,19.46
399,kropotkin,92,RU,1526229692,88,45.43,40.58,55.38,6.38
400,vallenar,88,CL,1526229216,73,-28.58,-70.76,63.84,3.02
401,houston,75,US,1526228100,52,29.76,-95.37,87.8,4.7
402,puerto ayacucho,40,CO,1526227200,66,5.66,-67.63,86.0,3.91
403,wanlaweyn,44,SO,1526229278,78,2.62,44.89,80.31,8.61
404,renfrew,0,GB,1526226600,41,55.88,-4.39,62.6,16.11
